date,orders_total,orders_dc1,orders_dc2,is_promo,day_of_week,month
2024-07-20,3312,2025,1287,0,Saturday,7
2024-07-21,2778,1780,998,0,Sunday,7
2024-07-22,5643,3217,2426,0,Monday,7
2024-07-23,4971,3069,1902,0,Tuesday,7
2024-07-24,5291,2931,2360,0,Wednesday,7
2024-07-25,4522,2853,1669,0,Thursday,7
2024-07-26,4627,2833,1794,0,Friday,7
2024-07-27,3204,2025,1179,0,Saturday,7
2024-07-28,3093,1844,1249,0,Sunday,7
2024-07-29,5733,3364,2369,0,Monday,7
2024-07-30,5086,3176,1910,0,Tuesday,7
2024-07-31,4506,2526,1980,0,Wednesday,7
2024-08-01,4007,2194,1813,0,Thursday,8
2024-08-02,4461,2675,1786,0,Friday,8
2024-08-03,3212,1889,1323,0,Saturday,8
2024-08-04,2933,1808,1125,0,Sunday,8
2024-08-05,5283,3342,1941,0,Monday,8
2024-08-06,5543,3414,2129,0,Tuesday,8
2024-08-07,4652,2932,1720,0,Wednesday,8
2024-08-08,4384,2672,1712,0,Thursday,8
2024-08-09,4207,2586,1621,0,Friday,8
2024-08-10,3060,1825,1235,0,Saturday,8
2024-08-11,2614,1604,1010,0,Sunday,8
2024-08-12,5626,3403,2223,0,Monday,8
2024-08-13,5302,3232,2070,0,Tuesday,8
2024-08-14,5010,2980,2030,0,Wednesday,8
2024-08-15,4560,2846,1714,0,Thursday,8
2024-08-16,4007,2318,1689,0,Friday,8
2024-08-17,3021,1810,1211,0,Saturday,8
2024-08-18,2631,1682,949,0,Sunday,8
2024-08-19,5233,2990,2243,0,Monday,8
2024-08-20,4755,2544,2211,0,Tuesday,8
2024-08-21,4220,2578,1642,0,Wednesday,8
2024-08-22,4316,2556,1760,0,Thursday,8
2024-08-23,4458,2809,1649,0,Friday,8
2024-08-24,3278,1953,1325,0,Saturday,8
2024-08-25,2650,1541,1109,0,Sunday,8
2024-08-26,5737,3429,2308,0,Monday,8
2024-08-27,4910,3107,1803,0,Tuesday,8
2024-08-28,4201,2593,1608,0,Wednesday,8
2024-08-29,4511,2377,2134,0,Thursday,8
2024-08-30,4188,2536,1652,0,Friday,8
2024-08-31,3152,1913,1239,0,Saturday,8
2024-09-01,2469,1480,989,0,Sunday,9
2024-09-02,6080,3536,2544,0,Monday,9
2024-09-03,5300,3369,1931,0,Tuesday,9
2024-09-04,4483,2857,1626,0,Wednesday,9
2024-09-05,4206,2245,1961,0,Thursday,9
2024-09-06,3909,2251,1658,0,Friday,9
2024-09-07,2845,1694,1151,0,Saturday,9
2024-09-08,2595,1630,965,0,Sunday,9
2024-09-09,5357,3219,2138,0,Monday,9
2024-09-10,4735,2743,1992,0,Tuesday,9
2024-09-11,4703,2921,1782,0,Wednesday,9
2024-09-12,4205,2496,1709,0,Thursday,9
2024-09-13,3917,2336,1581,0,Friday,9
2024-09-14,2910,1743,1167,0,Saturday,9
2024-09-15,2354,1452,902,0,Sunday,9
2024-09-16,5196,3069,2127,0,Monday,9
2024-09-17,4707,2921,1786,0,Tuesday,9
2024-09-18,3992,2386,1606,0,Wednesday,9
2024-09-19,3737,2122,1615,0,Thursday,9
2024-09-20,4075,2440,1635,0,Friday,9
2024-09-21,2837,1615,1222,0,Saturday,9
2024-09-22,2526,1518,1008,0,Sunday,9
2024-09-23,5422,3388,2034,0,Monday,9
2024-09-24,4696,2666,2030,0,Tuesday,9
2024-09-25,4460,2724,1736,0,Wednesday,9
2024-09-26,4077,2344,1733,0,Thursday,9
2024-09-27,3738,2265,1473,0,Friday,9
2024-09-28,2505,1567,938,0,Saturday,9
2024-09-29,2374,1272,1102,0,Sunday,9
2024-09-30,4816,2728,2088,0,Monday,9
2024-10-01,4795,2823,1972,0,Tuesday,10
2024-10-02,4259,2595,1664,0,Wednesday,10
2024-10-03,3966,2359,1607,0,Thursday,10
2024-10-04,3865,2313,1552,0,Friday,10
2024-10-05,2652,1753,899,0,Saturday,10
2024-10-06,2423,1365,1058,0,Sunday,10
2024-10-07,4410,2796,1614,0,Monday,10
2024-10-08,4636,2732,1904,0,Tuesday,10
2024-10-09,3916,2414,1502,0,Wednesday,10
2024-10-10,4020,2668,1352,0,Thursday,10
2024-10-11,3834,2379,1455,0,Friday,10
2024-10-12,2441,1491,950,0,Saturday,10
2024-10-13,2448,1586,862,0,Sunday,10
2024-10-14,4576,2900,1676,0,Monday,10
2024-10-15,4211,2425,1786,0,Tuesday,10
2024-10-16,3968,2415,1553,0,Wednesday,10
2024-10-17,3781,2073,1708,0,Thursday,10
2024-10-18,3546,2070,1476,0,Friday,10
2024-10-19,2305,1404,901,0,Saturday,10
2024-10-20,2272,1322,950,0,Sunday,10
2024-10-21,5078,3088,1990,0,Monday,10
2024-10-22,3611,2165,1446,0,Tuesday,10
2024-10-23,4000,2464,1536,0,Wednesday,10
2024-10-24,3841,2255,1586,0,Thursday,10
2024-10-25,3229,1846,1383,0,Friday,10
2024-10-26,2361,1521,840,0,Saturday,10
2024-10-27,4223,2471,1752,1,Sunday,10
2024-10-28,4878,3023,1855,0,Monday,10
2024-10-29,4336,2788,1548,0,Tuesday,10
2024-10-30,3972,2402,1570,0,Wednesday,10
2024-10-31,3597,2065,1532,0,Thursday,10
2024-11-01,4885,2904,1981,0,Friday,11
2024-11-02,3199,2017,1182,0,Saturday,11
2024-11-03,3165,1918,1247,0,Sunday,11
2024-11-04,5868,3308,2560,0,Monday,11
2024-11-05,5259,3249,2010,0,Tuesday,11
2024-11-06,5428,3382,2046,0,Wednesday,11
2024-11-07,4734,2789,1945,0,Thursday,11
2024-11-08,4300,2658,1642,0,Friday,11
2024-11-09,3001,1822,1179,0,Saturday,11
2024-11-10,2780,1651,1129,0,Sunday,11
2024-11-11,6057,3399,2658,0,Monday,11
2024-11-12,5326,3367,1959,0,Tuesday,11
2024-11-13,5458,3399,2059,0,Wednesday,11
2024-11-14,4940,3050,1890,0,Thursday,11
2024-11-15,4489,2901,1588,0,Friday,11
2024-11-16,3313,2081,1232,0,Saturday,11
2024-11-17,2798,1736,1062,0,Sunday,11
2024-11-18,5196,2772,2424,0,Monday,11
2024-11-19,5015,3189,1826,0,Tuesday,11
2024-11-20,4863,2929,1934,0,Wednesday,11
2024-11-21,4549,2772,1777,0,Thursday,11
2024-11-22,4554,2776,1778,0,Friday,11
2024-11-23,3037,1892,1145,0,Saturday,11
2024-11-24,2940,1862,1078,0,Sunday,11
2024-11-25,6084,3766,2318,0,Monday,11
2024-11-26,5183,3183,2000,0,Tuesday,11
2024-11-27,4908,2978,1930,0,Wednesday,11
2024-11-28,4152,2073,2079,0,Thursday,11
2024-11-29,4303,2544,1759,0,Friday,11
2024-11-30,2841,1624,1217,0,Saturday,11
2024-12-01,2828,1799,1029,0,Sunday,12
2024-12-02,5676,3511,2165,0,Monday,12
2024-12-03,5233,3067,2166,0,Tuesday,12
2024-12-04,4624,2724,1900,0,Wednesday,12
2024-12-05,5038,2963,2075,0,Thursday,12
2024-12-06,4027,2366,1661,0,Friday,12
2024-12-07,2808,1563,1245,0,Saturday,12
2024-12-08,3022,1662,1360,0,Sunday,12
2024-12-09,5383,3234,2149,0,Monday,12
2024-12-10,4905,3101,1804,0,Tuesday,12
2024-12-11,5260,3071,2189,0,Wednesday,12
2024-12-12,4723,2876,1847,0,Thursday,12
2024-12-13,4158,2586,1572,0,Friday,12
2024-12-14,3032,1728,1304,0,Saturday,12
2024-12-15,3055,1831,1224,0,Sunday,12
2024-12-16,5762,3341,2421,0,Monday,12
2024-12-17,5471,3546,1925,0,Tuesday,12
2024-12-18,4902,3170,1732,0,Wednesday,12
2024-12-19,4709,2685,2024,0,Thursday,12
2024-12-20,4295,2626,1669,0,Friday,12
2024-12-21,5863,3705,2158,1,Saturday,12
2024-12-22,4953,3097,1856,1,Sunday,12
2024-12-23,5783,3483,2300,0,Monday,12
2024-12-24,5079,3246,1833,0,Tuesday,12
2024-12-25,4755,2723,2032,0,Wednesday,12
2024-12-26,4444,2625,1819,0,Thursday,12
2024-12-27,4327,2482,1845,0,Friday,12
2024-12-28,2825,1761,1064,0,Saturday,12
2024-12-29,3166,1844,1322,0,Sunday,12
2024-12-30,5403,3214,2189,0,Monday,12
2024-12-31,5089,3147,1942,0,Tuesday,12
2025-01-01,3375,2095,1280,0,Wednesday,1
2025-01-02,3467,1985,1482,0,Thursday,1
2025-01-03,3175,2005,1170,0,Friday,1
2025-01-04,2139,1312,827,0,Saturday,1
2025-01-05,2158,1224,934,0,Sunday,1
2025-01-06,4351,2437,1914,0,Monday,1
2025-01-07,3856,2311,1545,0,Tuesday,1
2025-01-08,3434,2147,1287,0,Wednesday,1
2025-01-09,3768,2359,1409,0,Thursday,1
2025-01-10,3295,2012,1283,0,Friday,1
2025-01-11,2127,1279,848,0,Saturday,1
2025-01-12,2263,1392,871,0,Sunday,1
2025-01-13,4054,2328,1726,0,Monday,1
2025-01-14,4454,2897,1557,0,Tuesday,1
2025-01-15,7520,4889,2631,1,Wednesday,1
2025-01-16,3615,2215,1400,0,Thursday,1
2025-01-17,2942,1782,1160,0,Friday,1
2025-01-18,2156,1266,890,0,Saturday,1
2025-01-19,2287,1408,879,0,Sunday,1
2025-01-20,4366,2529,1837,0,Monday,1
2025-01-21,4383,2337,2046,0,Tuesday,1
2025-01-22,3743,1941,1802,0,Wednesday,1
2025-01-23,3522,2028,1494,0,Thursday,1
2025-01-24,3625,2192,1433,0,Friday,1
2025-01-25,2461,1501,960,0,Saturday,1
2025-01-26,2160,1264,896,0,Sunday,1
2025-01-27,4135,2498,1637,0,Monday,1
2025-01-28,3569,2112,1457,0,Tuesday,1
2025-01-29,3640,2074,1566,0,Wednesday,1
2025-01-30,3351,2005,1346,0,Thursday,1
2025-01-31,3844,2400,1444,0,Friday,1
2025-02-01,2311,1320,991,0,Saturday,2
2025-02-02,2149,1227,922,0,Sunday,2
2025-02-03,4123,2341,1782,0,Monday,2
2025-02-04,4077,2209,1868,0,Tuesday,2
2025-02-05,3673,2150,1523,0,Wednesday,2
2025-02-06,3954,2457,1497,0,Thursday,2
2025-02-07,3505,2121,1384,0,Friday,2
2025-02-08,2439,1451,988,0,Saturday,2
2025-02-09,2258,1363,895,0,Sunday,2
2025-02-10,4741,2775,1966,0,Monday,2
2025-02-11,4129,2236,1893,0,Tuesday,2
2025-02-12,4015,2503,1512,0,Wednesday,2
2025-02-13,4022,2542,1480,0,Thursday,2
2025-02-14,3638,2103,1535,0,Friday,2
2025-02-15,2466,1468,998,0,Saturday,2
2025-02-16,2216,1313,903,0,Sunday,2
2025-02-17,4607,2812,1795,0,Monday,2
2025-02-18,4448,2894,1554,0,Tuesday,2
2025-02-19,3675,2332,1343,0,Wednesday,2
2025-02-20,3971,2337,1634,0,Thursday,2
2025-02-21,3682,2269,1413,0,Friday,2
2025-02-22,2540,1619,921,0,Saturday,2
2025-02-23,2307,1412,895,0,Sunday,2
2025-02-24,4674,2803,1871,0,Monday,2
2025-02-25,4568,2801,1767,0,Tuesday,2
2025-02-26,4055,2347,1708,0,Wednesday,2
2025-02-27,3812,2223,1589,0,Thursday,2
2025-02-28,3824,2172,1652,0,Friday,2
2025-03-01,2692,1639,1053,0,Saturday,3
2025-03-02,2294,1367,927,0,Sunday,3
2025-03-03,5052,2906,2146,0,Monday,3
2025-03-04,5120,3046,2074,0,Tuesday,3
2025-03-05,4285,2631,1654,0,Wednesday,3
2025-03-06,3671,2413,1258,0,Thursday,3
2025-03-07,3869,2438,1431,0,Friday,3
2025-03-08,2447,1300,1147,0,Saturday,3
2025-03-09,2908,1765,1143,0,Sunday,3
2025-03-10,5604,3602,2002,0,Monday,3
2025-03-11,4515,2527,1988,0,Tuesday,3
2025-03-12,3814,2351,1463,0,Wednesday,3
2025-03-13,3936,2333,1603,0,Thursday,3
2025-03-14,3899,2473,1426,0,Friday,3
2025-03-15,2521,1543,978,0,Saturday,3
2025-03-16,2568,1472,1096,0,Sunday,3
2025-03-17,5124,3043,2081,0,Monday,3
2025-03-18,4822,2872,1950,0,Tuesday,3
2025-03-19,4460,2659,1801,0,Wednesday,3
2025-03-20,4020,2546,1474,0,Thursday,3
2025-03-21,3865,2221,1644,0,Friday,3
2025-03-22,2843,1791,1052,0,Saturday,3
2025-03-23,2560,1512,1048,0,Sunday,3
2025-03-24,5547,3365,2182,0,Monday,3
2025-03-25,4924,2965,1959,0,Tuesday,3
2025-03-26,4943,2962,1981,0,Wednesday,3
2025-03-27,4509,2703,1806,0,Thursday,3
2025-03-28,4368,2811,1557,0,Friday,3
2025-03-29,2927,1830,1097,0,Saturday,3
2025-03-30,2731,1608,1123,0,Sunday,3
2025-03-31,5910,3826,2084,0,Monday,3
2025-04-01,10868,6610,4258,1,Tuesday,4
2025-04-02,4760,2907,1853,0,Wednesday,4
2025-04-03,4379,2517,1862,0,Thursday,4
2025-04-04,4184,2447,1737,0,Friday,4
2025-04-05,2805,1625,1180,0,Saturday,4
2025-04-06,2672,1610,1062,0,Sunday,4
2025-04-07,5311,3288,2023,0,Monday,4
2025-04-08,5311,3245,2066,0,Tuesday,4
2025-04-09,4990,3231,1759,0,Wednesday,4
2025-04-10,4521,2592,1929,0,Thursday,4
2025-04-11,4390,2649,1741,0,Friday,4
2025-04-12,3024,1698,1326,0,Saturday,4
2025-04-13,2724,1559,1165,0,Sunday,4
2025-04-14,5941,3789,2152,0,Monday,4
2025-04-15,5446,3191,2255,0,Tuesday,4
2025-04-16,4390,2528,1862,0,Wednesday,4
2025-04-17,4577,2453,2124,0,Thursday,4
2025-04-18,4239,2439,1800,0,Friday,4
2025-04-19,3053,1812,1241,0,Saturday,4
2025-04-20,2802,1567,1235,0,Sunday,4
2025-04-21,5803,3436,2367,0,Monday,4
2025-04-22,5296,3379,1917,0,Tuesday,4
2025-04-23,4863,2814,2049,0,Wednesday,4
2025-04-24,5000,2858,2142,0,Thursday,4
2025-04-25,4651,2633,2018,0,Friday,4
2025-04-26,3064,1733,1331,0,Saturday,4
2025-04-27,2875,1771,1104,0,Sunday,4
2025-04-28,6075,3653,2422,0,Monday,4
2025-04-29,5622,3534,2088,0,Tuesday,4
2025-04-30,4891,3230,1661,0,Wednesday,4
2025-05-01,4770,2600,2170,0,Thursday,5
2025-05-02,5033,3077,1956,0,Friday,5
2025-05-03,3138,1777,1361,0,Saturday,5
2025-05-04,3297,2056,1241,0,Sunday,5
2025-05-05,6367,3768,2599,0,Monday,5
2025-05-06,6064,3643,2421,0,Tuesday,5
2025-05-07,4968,2789,2179,0,Wednesday,5
2025-05-08,4865,2856,2009,0,Thursday,5
2025-05-09,4578,2759,1819,0,Friday,5
2025-05-10,3470,2223,1247,0,Saturday,5
2025-05-11,2970,1711,1259,0,Sunday,5
2025-05-12,6351,3705,2646,0,Monday,5
2025-05-13,5860,3682,2178,0,Tuesday,5
2025-05-14,5193,2981,2212,0,Wednesday,5
2025-05-15,5302,3362,1940,0,Thursday,5
2025-05-16,4776,2864,1912,0,Friday,5
2025-05-17,3470,2113,1357,0,Saturday,5
2025-05-18,3022,1846,1176,0,Sunday,5
2025-05-19,5984,3479,2505,0,Monday,5
2025-05-20,5951,3640,2311,0,Tuesday,5
2025-05-21,5385,3106,2279,0,Wednesday,5
2025-05-22,5101,2983,2118,0,Thursday,5
2025-05-23,4725,2914,1811,0,Friday,5
2025-05-24,3631,2210,1421,0,Saturday,5
2025-05-25,2959,1768,1191,0,Sunday,5
2025-05-26,5910,3322,2588,0,Monday,5
2025-05-27,6076,3461,2615,0,Tuesday,5
2025-05-28,5556,3379,2177,0,Wednesday,5
2025-05-29,10642,6618,4024,1,Thursday,5
2025-05-30,4785,2711,2074,0,Friday,5
2025-05-31,3488,2004,1484,0,Saturday,5
2025-06-01,3435,2074,1361,0,Sunday,6
2025-06-02,7130,4302,2828,0,Monday,6
2025-06-03,5367,2958,2409,0,Tuesday,6
2025-06-04,5257,3179,2078,0,Wednesday,6
2025-06-05,5007,2914,2093,0,Thursday,6
2025-06-06,5288,3433,1855,0,Friday,6
2025-06-07,3001,1823,1178,0,Saturday,6
2025-06-08,3266,2000,1266,0,Sunday,6
2025-06-09,6292,3859,2433,0,Monday,6
2025-06-10,6370,3590,2780,0,Tuesday,6
2025-06-11,5806,3822,1984,0,Wednesday,6
2025-06-12,5252,2895,2357,0,Thursday,6
2025-06-13,4527,2824,1703,0,Friday,6
2025-06-14,3343,2067,1276,0,Saturday,6
2025-06-15,3124,1829,1295,0,Sunday,6
2025-06-16,5974,3703,2271,0,Monday,6
2025-06-17,6250,3690,2560,0,Tuesday,6
2025-06-18,5024,2912,2112,0,Wednesday,6
2025-06-19,5681,3488,2193,0,Thursday,6
2025-06-20,5412,3083,2329,0,Friday,6
2025-06-21,3383,2007,1376,0,Saturday,6
2025-06-22,3256,1895,1361,0,Sunday,6
2025-06-23,6386,3767,2619,0,Monday,6
2025-06-24,6183,3790,2393,0,Tuesday,6
2025-06-25,5768,3357,2411,0,Wednesday,6
2025-06-26,5243,3115,2128,0,Thursday,6
2025-06-27,5044,2950,2094,0,Friday,6
2025-06-28,3342,2149,1193,0,Saturday,6
2025-06-29,3272,1996,1276,0,Sunday,6
2025-06-30,6455,3915,2540,0,Monday,6
2025-07-01,5639,3499,2140,0,Tuesday,7
2025-07-02,5410,3149,2261,0,Wednesday,7
2025-07-03,5067,3170,1897,0,Thursday,7
2025-07-04,4768,2910,1858,0,Friday,7
2025-07-05,3243,1793,1450,0,Saturday,7
2025-07-06,3203,1784,1419,0,Sunday,7
2025-07-07,6133,3574,2559,0,Monday,7
2025-07-08,5749,3221,2528,0,Tuesday,7
2025-07-09,5683,3369,2314,0,Wednesday,7
2025-07-10,5306,3022,2284,0,Thursday,7
2025-07-11,10195,6087,4108,1,Friday,7
2025-07-12,3484,2237,1247,0,Saturday,7
